incident nummer,Incident categorie,Beschrijving incident
1247209,2e lijns (Doorgezette incidenten),thuiswerken met apple geeft problemen
1247210,2e lijns (Doorgezette incidenten),"Kan niet inloggen:  protocol driver error""."
1247211,2e lijns (Doorgezette incidenten),Vraagt naar R. Kamphuis
1247213,2e lijns (Doorgezette incidenten),Outlook aanmeldmelding
1247215,2e lijns (Doorgezette incidenten),leveren van 2 MT40 mobile thin clients
1247217,2e lijns (Doorgezette incidenten),Muis snelheid aanpassen.
1247219,2e lijns (Doorgezette incidenten),Huidige KA inlogproblemen
1247221,2e lijns (Doorgezette incidenten),Kan nog niet inloggen met pas
1247222,2e lijns (Doorgezette incidenten),Kabel iPad 4
1247224,2e lijns (Doorgezette incidenten),Huidige KA inlogproblemen
1247226,2e lijns (Doorgezette incidenten),Cant connect to citrix xenapp server
1247228,2e lijns (Doorgezette incidenten),dv HC
1247230,2e lijns (Doorgezette incidenten),Wachtwoord moest gewijzigd worden
1247231,2e lijns (Doorgezette incidenten),Ww vergeten.
1247232,2e lijns (Doorgezette incidenten),"Kan niet inloggen: ""can not connect to the citrix Xenapp server"""
1247233,Hardware / Werkplekbeheer,01-10-2013 08:30 Noord-Hollandzaal presentatie testen
1247237,2e lijns (Doorgezette incidenten),Inlogproblemen huidige KA
1247238,2e lijns (Doorgezette incidenten),Word2003__ alinia's aanpassen
1247242,2e lijns (Doorgezette incidenten),kan niet inloggen
1247243,2e lijns (Doorgezette incidenten),Dv HC. Database
1247244,2e lijns (Doorgezette incidenten),Nieuwe KA Excel__ziet geen tabbladen onderin
1247245,2e lijns (Doorgezette incidenten),nieuwe KA geen usb te zien
1247247,2e lijns (Doorgezette incidenten),Kan niet inloggen. Na 4 minuten zwart scherm krijgt de gebruiker weer een inlogscherm
1247248,Hardware / Werkplekbeheer,MF: Standaard lade is vol. Papier verwijderen.
1247249,2e lijns (Doorgezette incidenten),Hunite__kan niet inloggen
1247251,2e lijns (Doorgezette incidenten),token code
1247253,2e lijns (Doorgezette incidenten),Pasje niet gekoppeld
1247254,Telefonie / Communicatie,Handsets__accu's leeg
1247259,3e lijns (Technische incidenten),Vraagt om ip-adres voor een of andere box.
1247260,2e lijns (Doorgezette incidenten),Cannot connect to the citrix metaframe server
1247263,2e lijns (Doorgezette incidenten),Nieuwe KA__kan USB stick niet uitlezen
1247267,2e lijns (Doorgezette incidenten),Nieuwe KA__ Ziet geen USB stick
1247270,2e lijns (Doorgezette incidenten),dv RK
1247271,2e lijns (Doorgezette incidenten),wire solutions__verkeerd nummer
1247274,2e lijns (Doorgezette incidenten),Er komt niets uit de printer
1247279,2e lijns (Doorgezette incidenten),WS Connect: 3 zuid km 56 b1 Heij. Telefoon werkt niet en geen radio
1247283,2e lijns (Doorgezette incidenten),dv Carel Muller
1247287,2e lijns (Doorgezette incidenten),Gebruiker kan niet inloggen
1247288,Telefonie / Communicatie,webserver niet bereikbaar 10.38.17.145
1247291,2e lijns (Doorgezette incidenten),pas activeren
1247294,Hardware / Werkplekbeheer,"MF geeft melding: ""PM oproep. Bel service.""."
1247306,2e lijns (Doorgezette incidenten),Kan niet kiezen voor de Ricoh Aficio
1247308,2e lijns (Doorgezette incidenten),nieuwe ka geen rechten voor usbstick
1247312,Hardware / Werkplekbeheer,Pas vervangen scherm is uitgevallen
1247313,Hardware / Werkplekbeheer,Dr. Verhoog problemen met laptop. Internet Explorer doet het niet.
1247318,2e lijns (Doorgezette incidenten),dv GL JW
1247321,2e lijns (Doorgezette incidenten),Aad Schouten wil even langskomen ivm iPad synchronisatieproblemen
1247324,2e lijns (Doorgezette incidenten),safewordcode
1247334,2e lijns (Doorgezette incidenten),Nieuwe pas
1247350,2e lijns (Doorgezette incidenten),Doorverbonden met W. Grooten
1247352,2e lijns (Doorgezette incidenten),tc blijft op zwart scherm
1247356,2e lijns (Doorgezette incidenten),Graag aanmaken van email adressen bij nieuwe gebruikers
1247357,2e lijns (Doorgezette incidenten),"Cannot connect to the citrix xenapp server , protocol driver error"
1247360,Telefonie / Communicatie,Er zit een toets vast van bedienpost 4403 (spoedeisende hulp)
1247362,2e lijns (Doorgezette incidenten),volume vast toestel aanpassen
1247365,2e lijns (Doorgezette incidenten),dv JTT
1247367,2e lijns (Doorgezette incidenten),CS__ enorm traag met inloggen.
1247369,Telefonie / Communicatie,geluid reanimatie telefoon CCU
1247370,Hardware / Werkplekbeheer,"Laptop kan niet inloggen, heeft geen verbinding"
1247371,2e lijns (Doorgezette incidenten),TC geen power. Stekker lag op de grond.
1247373,Hardware / Werkplekbeheer,Geen geluid Weezemuurkamer
1247374,2e lijns (Doorgezette incidenten),Wat is de staus van bonnr.: 01246964?
1247375,2e lijns (Doorgezette incidenten),Word hulp bij opmaak van document
1247376,Hardware / Werkplekbeheer,2e scherm Message: the current input timing is not supported by the monitor display.
1247378,2e lijns (Doorgezette incidenten),Outlook hangt regelmatig (ook bij collega's)
1247385,Hardware / Werkplekbeheer,Sidexis werkt niet op Thin Client
1247387,2e lijns (Doorgezette incidenten),nieuwe KA outlook agenda blijven niet in systeem staan
1247388,2e lijns (Doorgezette incidenten),"buitenpoli Goor, please wait-melding"
1247389,Functioneel beheer,ongepland consult
1247391,Telefonie / Communicatie,Klem van handset 3197 is defect
1247399,Functioneel beheer,accorderen WS Amsterdam/ Amsterdam
1247401,Hardware / Werkplekbeheer,Graag nieuw toetsenbord
1247402,2e lijns (Doorgezette incidenten),dv EW
1247403,2e lijns (Doorgezette incidenten),Annet Eggert heeft Simpromed aangevraagd voor  Oogarts MBAKX
1247404,2e lijns (Doorgezette incidenten),"Spoed__meneer heeft nog geen inlogaccount, is vandaag begonnen"
1247407,Hardware / Werkplekbeheer,toetsenbord Laptop reageert niet meer goed
1247408,Hardware / Werkplekbeheer,Aanvraag om de muis te vervangen door PC-beheer
1247411,Functioneel beheer,autorisatie
1247412,2e lijns (Doorgezette incidenten),Doorverbonden met W. Grooten
1247413,2e lijns (Doorgezette incidenten),"B de Vries heeft tb opgehaald, vraag is hoe lang het duurt voordat tb weer terug kan"
1247414,Functioneel beheer,CS: Aanvraag wijziging stamtabel
1247415,2e lijns (Doorgezette incidenten),CS dossiergegevens niet allemaal in beeld dv 5119
1247416,Functioneel beheer,scherm resolutie
1247417,2e lijns (Doorgezette incidenten),Inlogprobleem.
1247429,2e lijns (Doorgezette incidenten),Wacht al 20 minuten op een faxbevestiging
1247430,2e lijns (Doorgezette incidenten),"Nieuwe KA__kan niet printen, OneNote is ingesteld"
1247432,2e lijns (Doorgezette incidenten),ping nieuwe KA-werkplek
1247433,2e lijns (Doorgezette incidenten),ww vergeten
1247435,2e lijns (Doorgezette incidenten),dv WG
1247485,2e lijns (Doorgezette incidenten),cannot connect to citrix
1247641,Functioneel beheer,CS: Ziscan co rechten
1247642,Functioneel beheer,CS Agenda:
1247644,2e lijns (Doorgezette incidenten),Cannot connect to the Citrix...
1247646,2e lijns (Doorgezette incidenten),Telewerken__gaat niet goed
1247647,Functioneel beheer,geaccordeerde brief
1247649,2e lijns (Doorgezette incidenten),resolutie aanpassen
1247654,Functioneel beheer,autorisatie
1247655,Hardware / Werkplekbeheer,Laptop doet niets kan niet inloggen geen netwerk
1247656,Hardware / Werkplekbeheer,MF__ Printer blijft op please wait staan.
1247657,2e lijns (Doorgezette incidenten),Inloggen gaat niet goed
1247659,2e lijns (Doorgezette incidenten),Vraagt naar D. Pierik
1247660,2e lijns (Doorgezette incidenten),Mist nog J:\ Chirurgie map
1247661,2e lijns (Doorgezette incidenten),Dv Gerben Lammertink
1247665,2e lijns (Doorgezette incidenten),Outlook2003__ postvak toevoegen
1247667,2e lijns (Doorgezette incidenten),Outlook automatische handtekening
1247668,2e lijns (Doorgezette incidenten),Account van avbreussegem mist nog rechten.
1247670,Functioneel beheer,CS: Erg traag systeem
1247673,2e lijns (Doorgezette incidenten),safewordcode
1247674,Hardware / Werkplekbeheer, beamer en pc doen het niet
1247676,Functioneel beheer,"CS, Opnametypes aanpassen"
1247679,2e lijns (Doorgezette incidenten),Raymond Agermuur. Smart TV
1247682,2e lijns (Doorgezette incidenten),citrix cannot connect to citrix
1247683,Hardware / Werkplekbeheer,WS Desktop error cannot connect to the citrix XENAPP server protocol driver error i/o
1247685,2e lijns (Doorgezette incidenten),Cannot connect to the Citrix ....
1247686,2e lijns (Doorgezette incidenten),vraagt naar Jeff ten Tusscher
1247687,Hardware / Werkplekbeheer,"Unable to launch your application, cannot connect to the citrix xenapp server : protocol driver error"
1247688,2e lijns (Doorgezette incidenten),handset nieuwe accu 5043
1247689,2e lijns (Doorgezette incidenten),Problemen met Diamant starten
1247690,2e lijns (Doorgezette incidenten),CS/CRM-ERP: traagheid in CRM-ERP
1247691,Functioneel beheer,Traagheid
1247692,2e lijns (Doorgezette incidenten),CS/CRM-ERP: heeft nog geen rechten voor Amsterdam
1247693,2e lijns (Doorgezette incidenten),dv RM
1247694,2e lijns (Doorgezette incidenten),Fin-ERP lijst verzenden vanuit CSCRM-ERP
1247695,2e lijns (Doorgezette incidenten),Pas activeren voor rvdboomen
1247697,2e lijns (Doorgezette incidenten),Vraagt wanneer zij laptop langs kan brengen.
1247700,2e lijns (Doorgezette incidenten),Outlook verzoek vergroten postbus
1247702,2e lijns (Doorgezette incidenten),Synergy: kan geen kaartjes uitlezen: stuurprogramma is niet geïnstalleerd.
1247703,2e lijns (Doorgezette incidenten),Huidige KA inlogproblemen
1247704,Functioneel beheer,Bon 01200368 activeren
1247705,2e lijns (Doorgezette incidenten),01247687 status?
1247706,2e lijns (Doorgezette incidenten),"VPN verbinding richting firma Bartimeus doet het niet, graag controleren"
1247708,2e lijns (Doorgezette incidenten),Moet net framework 4 geïnstalleerd hebben op een tweetal laptops bij fysio
1247710,2e lijns (Doorgezette incidenten),moet iets worden omgezet in de kast?
1247713,2e lijns (Doorgezette incidenten),inlogprobleem
1247714,Hardware / Werkplekbeheer,slechte wifi-verbinding in behandelkamer 5
1247715,2e lijns (Doorgezette incidenten),"Kan niet inloggen: ""protocol driver error""."
1247716,2e lijns (Doorgezette incidenten),Rechten toekennen.
1247717,Hardware / Werkplekbeheer,Mobile TC__kan niet inloggen ivm locked user
1247720,2e lijns (Doorgezette incidenten),"In,log loopt niet door. Blijft hangen op ""applying computer settings""."
1247721,Functioneel beheer,Rechten Ria Lemmers
1247722,2e lijns (Doorgezette incidenten),vraagt naar Ray Agermuur maar is op tst. 3105 niet bereikbaar
1247723,Hardware / Werkplekbeheer,Data op USB stick zetten en leveren aan Isle Vulman
1247724,2e lijns (Doorgezette incidenten),Handtekening Ellen Zanderink aanpassen
1247725,2e lijns (Doorgezette incidenten),"wire solutions: geen tv, verbinding valt weg  	5Noord k516 b1"
1247726,2e lijns (Doorgezette incidenten),Pink Roccade betreft vraag over Madows
1247727,2e lijns (Doorgezette incidenten),MF__pas registreren en activeren
1247728,2e lijns (Doorgezette incidenten),"Kan niet inloggen: ""protocol driver error""."
1247729,Hardware / Werkplekbeheer,Fin-ERP problemen met bijlagen toevoegen in outlook
1247736,2e lijns (Doorgezette incidenten),Word verstuurd met bijlage (met uitzondering van opmerkingen)
1247737,2e lijns (Doorgezette incidenten),Vraagt naar D. Pierik
1247738,2e lijns (Doorgezette incidenten),standaardprinter Ricoh Aficio pasalm-z01 niet beschikbaar in de nieuwe KA
1247739,Functioneel beheer,Kan bon 01246553 niet voorzien van storingsoorzaak
1247740,2e lijns (Doorgezette incidenten),Graag terugkoppelen wat nu het probleem was
1247742,2e lijns (Doorgezette incidenten),Nieuwe KA__handtekening + printer onjuist ingesteld
1247743,2e lijns (Doorgezette incidenten),"Alarmpieper gaat nier meer af, reageert niet op bellen."
1247744,2e lijns (Doorgezette incidenten),Bestand kwijt
1247745,2e lijns (Doorgezette incidenten),Nieuwe KA__Mist snapshot viewer om Werknemersoverzicht te kunnen bekijken .snp extention
1247746,2e lijns (Doorgezette incidenten),token code
1247750,2e lijns (Doorgezette incidenten),handset zwakke accu nr 4906
1247751,2e lijns (Doorgezette incidenten),On Screen keyboard blijft in beeld komen na opstarten yeezendam XENAPPH13-01
1247752,Functioneel beheer,Kan in het scherm wijzig inventaris een inventaris niet reserveerbaar maken
1247753,2e lijns (Doorgezette incidenten),safewordcode
1247754,2e lijns (Doorgezette incidenten),kan niet in opleiding
1247756,2e lijns (Doorgezette incidenten),Evocs 2.0 krijgt zij een windows inlogscherm en daarna start hij niet door.
1247757,Hardware / Werkplekbeheer,Laptop__geen netwerkverbinding
1247758,2e lijns (Doorgezette incidenten),dv FB
1247762,2e lijns (Doorgezette incidenten),vraag e-mailadres
1247763,2e lijns (Doorgezette incidenten),Kan niet inloggen geen toegang tot TC
1247764,2e lijns (Doorgezette incidenten),nieuwe ka tc piept
1247766,2e lijns (Doorgezette incidenten),WS Connect scherm doet het niet goed.
1247767,2e lijns (Doorgezette incidenten),coordinator Vrijwilligersservicepunt
1247769,2e lijns (Doorgezette incidenten),pas activeren
1247771,2e lijns (Doorgezette incidenten),Nieuwe KA: Printer veranderd automatisch. Blijft niet op Ricoh staan.
1247772,2e lijns (Doorgezette incidenten),Vraagt status van call 01247687
1247774,2e lijns (Doorgezette incidenten),wachtwoord vergeten
1247775,2e lijns (Doorgezette incidenten),Outlook start niet goed op
1247776,2e lijns (Doorgezette incidenten),piepers doen het niet
1247778,Hardware / Werkplekbeheer,Standalone PC (geen CI) kan niet printen (geen verbinding)
1247779,2e lijns (Doorgezette incidenten),Komt telkens in sessie met dezelfde foutmelding
1247780,2e lijns (Doorgezette incidenten),ww vergeten
1247782,2e lijns (Doorgezette incidenten),Standaardprinter wordt niet onthouden (springt telkens terug naar OneNote)
1247783,2e lijns (Doorgezette incidenten),"2 cd's banden, komt langs"
1247787,2e lijns (Doorgezette incidenten),MF__nieuwe pas registreren
1247789,2e lijns (Doorgezette incidenten),dv RK
1247791,2e lijns (Doorgezette incidenten),Wil bestanden van J-schijf gekopieerd hebben naar USB-stick.
1247796,2e lijns (Doorgezette incidenten),CS__kan niet bij bepaalde delen binnen CS
1247797,2e lijns (Doorgezette incidenten),dv JTT
1247798,2e lijns (Doorgezette incidenten),Dv met Miriam Heerdink
1247800,2e lijns (Doorgezette incidenten),Outlook: kan mail niet verzenden
1247801,2e lijns (Doorgezette incidenten),Vraagt naar Edmund
1247802,Telefonie / Communicatie,Telecom doorschakelen op 9 Controlekamert t/m 11 Controlekamert
1247803,2e lijns (Doorgezette incidenten),dv BJ
1247810,2e lijns (Doorgezette incidenten),j-schijf rechten
1247812,2e lijns (Doorgezette incidenten),Vraagt naar status aanvraag van Inge Beernink voor Jannette Wendels
1247813,Telefonie / Communicatie,Terugbelverzoek
1247818,2e lijns (Doorgezette incidenten),wire solutions: patiëmt wil naar buiten bellen  	5Noord k515 b1
1247827,2e lijns (Doorgezette incidenten),"Inloggen gaat niet goed, maar gspoler had nog een sessie van gisteren open staan"
1247828,2e lijns (Doorgezette incidenten),WS Connect
1247830,2e lijns (Doorgezette incidenten),wire solutions gebruik telefonie
1247831,2e lijns (Doorgezette incidenten),dv RV
1247834,2e lijns (Doorgezette incidenten),Navraag over rechten voor kaakchirurgen
1247835,2e lijns (Doorgezette incidenten),Vraagt naar achternaam van Tonny (Becker)
1247839,2e lijns (Doorgezette incidenten),WS Connect
1247844,2e lijns (Doorgezette incidenten),wire solutions tv doet niet
1247845,2e lijns (Doorgezette incidenten),IE verouderd meldingen op meerdere sites
1247863,2e lijns (Doorgezette incidenten),Outlook mail doorsturen naar privé e-mail
1247867,2e lijns (Doorgezette incidenten),Doorverbonden met D. Pierik ivm aanleg wcd in SER 2 voor Labmicta
1247881,2e lijns (Doorgezette incidenten),Kan foto's van PC niet overzetten
1247882,2e lijns (Doorgezette incidenten),"Error code 43  ""error getting property"""
1247883,2e lijns (Doorgezette incidenten),bouwtekening Foxit reader
1247886,2e lijns (Doorgezette incidenten),safewordcode
1247887,2e lijns (Doorgezette incidenten),Hunite__collega kan niet inloggen
1247888,2e lijns (Doorgezette incidenten),geluid presentatie
1247904,2e lijns (Doorgezette incidenten),Waar wordt morgen de training nieuwe KA gegeven?
1247905,Hardware / Werkplekbeheer,"No boot device found, press key to reboot."
1247906,2e lijns (Doorgezette incidenten),safewordcode
1247907,2e lijns (Doorgezette incidenten),braint rt geeft melding van plugin?
1247908,2e lijns (Doorgezette incidenten),wire solutions__scherm valt steeds uit tijdens internetten
1247911,2e lijns (Doorgezette incidenten),crm__loopt vast
1247915,2e lijns (Doorgezette incidenten),Ww Hunite wordt niet gepakt.
1247930,2e lijns (Doorgezette incidenten),Zwart scherm na inlog
1247932,2e lijns (Doorgezette incidenten),token code
1247933,2e lijns (Doorgezette incidenten),Vraagt status melding laptops
1247935,2e lijns (Doorgezette incidenten),dv RK
1247954,2e lijns (Doorgezette incidenten),Monaco PIP softgrid error
1247955,2e lijns (Doorgezette incidenten),Weten wij wat over nietjes voor de multifunctionals
1247956,2e lijns (Doorgezette incidenten),nieuwe KA: Outlook
1247958,2e lijns (Doorgezette incidenten),Nieuwe KA__krijgt steeds OneNote printer ingesteld en handtekening verdwijnt elke keer
1247959,2e lijns (Doorgezette incidenten),Dv met Carel Muller
1247960,2e lijns (Doorgezette incidenten),Bestand weggegooid
1247962,2e lijns (Doorgezette incidenten),dv FM
1247965,2e lijns (Doorgezette incidenten),CS/CRM-ERP: wachtwoord vergeten
1247968,2e lijns (Doorgezette incidenten),Moet pas nog activeren op multifunctional
1247979,2e lijns (Doorgezette incidenten),CS/CRM-ERP: problemen met starten CRM-ERP
1247980,2e lijns (Doorgezette incidenten),ww vergeten na afwezigheid
1247981,2e lijns (Doorgezette incidenten),Doorverbonden met R. Vlaskamp
1247983,2e lijns (Doorgezette incidenten),account locked out
1247984,Hardware / Werkplekbeheer,TC is verplaatst en snoeren moeten nu weggewerkt worden
1247988,2e lijns (Doorgezette incidenten),wachtwoord vergeten
1247989,2e lijns (Doorgezette incidenten),2 keer starten CS is niet meer mogelijk nieuwe omgeving
1247990,2e lijns (Doorgezette incidenten),nieuwe KA Synergy kaartlezer wordt niet herkend
1247993,2e lijns (Doorgezette incidenten),MF__faxen naar buitenland mogelijk?
1247994,2e lijns (Doorgezette incidenten),Diamant start niet op
1247996,2e lijns (Doorgezette incidenten),Toekennen van de pas gaat niet goed
1247997,2e lijns (Doorgezette incidenten),Huidige KA inlogprobleem
1247998,2e lijns (Doorgezette incidenten),wetenschapsdag microfoon beschikbaar?
1248000,Hardware / Werkplekbeheer,Printer print groene afdrukken. Afkeurrapport maken
1248001,2e lijns (Doorgezette incidenten),Er zijn 3 pallets met TC's binnengekomen vanuit distributiecentrum
1248004,2e lijns (Doorgezette incidenten),MF pas activeren
1248007,2e lijns (Doorgezette incidenten),Vraagt status melding 01245862
1248008,2e lijns (Doorgezette incidenten),eMadows
1248011,2e lijns (Doorgezette incidenten),PC is gelocked en kan niet gebruikt worden (staat in voorbereidingsruimte Controlekamer7)
1248014,Hardware / Werkplekbeheer,Bij draaien van camera op de eerste hulp
1248016,Hardware / Werkplekbeheer,"wire solutions__ scherm schijnt defect te zijn, kabels liggen open en bloot."
1248017,2e lijns (Doorgezette incidenten),safewordcode
1248021,2e lijns (Doorgezette incidenten),wire solutions__pakketvraag (voor zijn vrouw)
1248022,2e lijns (Doorgezette incidenten),dv met Pierik
1248023,Hardware / Werkplekbeheer,probleem met inscannen naar EPD
1248024,2e lijns (Doorgezette incidenten),Heeft gebruiker nhospers rechten op ChipSoft?
1248025,Functioneel beheer,CS CRM-ERP: Is heel traag
1248032,2e lijns (Doorgezette incidenten),na ww reset
1248033,2e lijns (Doorgezette incidenten),dv GR / Patrick Calis
1248039,2e lijns (Doorgezette incidenten),Vraag over Open LAB
1248040,Telefonie / Communicatie,tijdelijke verhuissing dietetiek Alo (vr 4-10 en vr 11-10)
1248041,Telefonie / Communicatie,verhuissing kraam/verlos donderdag 26/9
1248043,2e lijns (Doorgezette incidenten),Aanvraag snapshopviewer
1248045,2e lijns (Doorgezette incidenten),"wire solutions__scherm doet het niet, gaag resetten"
1248046,2e lijns (Doorgezette incidenten),"Mosos__print op lade 4 (polsbandjes), dit moet lade 3 zijn"
1248048,Hardware / Werkplekbeheer,nieuwe KA Pas lezer reageert niet op de pas
1248051,Hardware / Werkplekbeheer,"MF geeft aan dat er geen papier inzit, terwijl er wel papier inzit"
1248059,2e lijns (Doorgezette incidenten),Doorverbonden met C. Muller
1248065,2e lijns (Doorgezette incidenten),MF scannen knop reageert niet
1248067,2e lijns (Doorgezette incidenten),Kan niet afdrukken in kleur
1248069,Functioneel beheer,CS CRM-ERP: Is heel traag
1248070,2e lijns (Doorgezette incidenten),Kan niet in kleur printen
1248072,2e lijns (Doorgezette incidenten),Gebruiker toe laten voegen mailbox
1248073,2e lijns (Doorgezette incidenten),mf kan niet scannen
1248075,Hardware / Werkplekbeheer,graag contact opnemen over aanpassing transponder instelling op crm station
1248079,2e lijns (Doorgezette incidenten),MF__kan niet printen
1248085,2e lijns (Doorgezette incidenten),filmpje kopieren naar usb
1248090,Telefonie / Communicatie,"Bedienposten (stekker is er bijna af, kijkt op de blote kabel)"
1248096,2e lijns (Doorgezette incidenten),software IE om te downloaden
1248108,2e lijns (Doorgezette incidenten),Nieuwe KA__krijgt 'Locatie is niet beschikbaar' foutmelding
1248109,2e lijns (Doorgezette incidenten),Centrasys: elektronische bestelling brocacef is niet overgekomen
1248110,Hardware / Werkplekbeheer,Beeldscherm (Dell P190s) moet vervangen worden ivm aardingsfout (is doorgemeten)
1248111,2e lijns (Doorgezette incidenten),info bezettings ict
1248112,2e lijns (Doorgezette incidenten),Heeft bij opruimen kamer diverse toners en cartridges gevonden
1248113,2e lijns (Doorgezette incidenten),CS/CRM-ERP: doorverbonden met functioneel beheer CRM-ERP
1248115,Hardware / Werkplekbeheer,UPS plaatsen bij reanimatie computer (iom) de heer van Lonen
1248116,2e lijns (Doorgezette incidenten),dv RV
1248117,2e lijns (Doorgezette incidenten),Electronische brieven komen niet door
1248118,Functioneel beheer,"Veld aanschafwaarde op installatiescherm wel visible, op inventarisscherm niet"
1248123,2e lijns (Doorgezette incidenten),Outlook__hulp bij handtekening instellen
1248131,2e lijns (Doorgezette incidenten),Mist nog J: schijven na aanmaak account
1248133,2e lijns (Doorgezette incidenten),Doorverbonden met BJ Beekman
1248134,2e lijns (Doorgezette incidenten),Outlook archiefmappen niet openen
1248138,2e lijns (Doorgezette incidenten),nieuwe KA: Monaco start nog steeds fullscreen
1248140,2e lijns (Doorgezette incidenten),Map J:\3westdata is leeg
1248145,Hardware / Werkplekbeheer,MF lade-instelling lade 3 moet niet automatisch naar lade 4 indien lade 3 leeg is
1248147,Functioneel beheer,nieuwe subagenda de bruin
1248148,2e lijns (Doorgezette incidenten),rechten
1248149,2e lijns (Doorgezette incidenten),Sites vragen om update Internet Explorer
1248150,2e lijns (Doorgezette incidenten),Doorverbonden met R. Vlaskamp
1248152,2e lijns (Doorgezette incidenten),vraag toekennen rechten
1248154,2e lijns (Doorgezette incidenten),In storing gemelde Laptop doet het inmiddels weer
1248155,2e lijns (Doorgezette incidenten),ww vergeten
1248157,2e lijns (Doorgezette incidenten),RS terugbellen svp
1248159,2e lijns (Doorgezette incidenten),hoort telkens een ping geluidje (heel irritant
1248160,2e lijns (Doorgezette incidenten),"Telewerken via WSprivate: lukt de ene keer wel, de andere keer niet."
1248161,2e lijns (Doorgezette incidenten),Wo 23-10 installeren RFC m.b.t Logopedie plaatsen van de software Voice Profiler op netwerk conform logopedie locatie Amsterdam
1248167,2e lijns (Doorgezette incidenten),"Krijgt foutmelding: ""policy verhindert het aanmelden"""
1248169,2e lijns (Doorgezette incidenten),ww te vaak in gevoerd
1248171,2e lijns (Doorgezette incidenten),token code
1248172,2e lijns (Doorgezette incidenten),dv RB
1248173,2e lijns (Doorgezette incidenten),kaartlezer nog niemand geweest status bon 01247990
1248174,2e lijns (Doorgezette incidenten),wire solutions: klacht over factuur
1248176,2e lijns (Doorgezette incidenten),test
1248179,Hardware / Werkplekbeheer,"Komt met een spreker met Apple (Macbook), graag rond 16:00 uur ondersteuning bieden"
1248180,2e lijns (Doorgezette incidenten),Computer mag een herinstallatie krijgen.
1248181,2e lijns (Doorgezette incidenten),Kan Dropbox niet installeren
1248182,2e lijns (Doorgezette incidenten),Komt later voor de les ivm uitloop andere les
1248184,2e lijns (Doorgezette incidenten),G2 logfile plaatsen op Rob Pellen Home dir
1248185,2e lijns (Doorgezette incidenten),Kan Adobe Photoshop (subscribed) niet openen
1248186,2e lijns (Doorgezette incidenten),reference account is locked out
1248187,2e lijns (Doorgezette incidenten),Applicatie Haag-Streit Eyesuite loopt regelmatig vast.
1248188,2e lijns (Doorgezette incidenten),tokencode
1248190,2e lijns (Doorgezette incidenten),Doorverbonden met C. Muller
1248192,Hardware / Werkplekbeheer,"wire solutions kan geen reknr invoeren, krijgt geen toetsenbord in beeld_vanmiddag langsgaan svp"
1248193,2e lijns (Doorgezette incidenten),wire solutions: patiënt antwoord niet
1248194,Hardware / Werkplekbeheer,"BertJan, svp terugbellen"
1248201,2e lijns (Doorgezette incidenten),Laptop__kan niet aanmelden
1248204,Hardware / Werkplekbeheer,MF__ ingescande faxen worden onduidelijk ontvangen
1248205,2e lijns (Doorgezette incidenten),EPD allergologie -> breedbeeldmonitoren GR terugbellen svp
1248207,Hardware / Werkplekbeheer,tijdelijke verhuissing dietetiek Alo (vr 4-10 en vr 11-10)
1248212,2e lijns (Doorgezette incidenten),Carelink Pro/ Accu Chek__Indien mogelijk software installeren op 2 PC's
1248213,2e lijns (Doorgezette incidenten),dv NW
1248215,2e lijns (Doorgezette incidenten),"""Klingel"" in TC"
1248216,2e lijns (Doorgezette incidenten),kassaprinter Pipenzo
1248217,Functioneel beheer,Foutmelding Ultimo
1248218,2e lijns (Doorgezette incidenten),dv IJ
1248219,2e lijns (Doorgezette incidenten),wachtwoord vergeten
1248222,2e lijns (Doorgezette incidenten),Doorverbonden met R. Stoter
1248223,2e lijns (Doorgezette incidenten),"Kan CRM-ERP niet starten: ""OSD-bestand is nieuwer dan de versie in cache"""
1248225,2e lijns (Doorgezette incidenten),wire solutions: heeft geen toetsenbord  	3CCU k387 b1
1248230,Hardware / Werkplekbeheer,Controlekamer beeld valt plotseling op zwart terwijl men ingelogt is.
1248232,2e lijns (Doorgezette incidenten),"Gabrom Synergy paslezer werkt niet, volgens mij is hier al een bon van (gemaakt door Yvonne )"
1248236,Hardware / Werkplekbeheer,"Laptop__accu niet goed meer, snel leeg"
1248242,Hardware / Werkplekbeheer,Camera's voor bewakingsbeelden zijn niet goed gericht.
1248243,Hardware / Werkplekbeheer,Audio deel loopt van deze pc vast
1248244,2e lijns (Doorgezette incidenten),2x CS opstarten via workaround: https://login.WS.nl en WS Desktop starten
1248248,2e lijns (Doorgezette incidenten),"Belde voor melding 01248243, is al opgelost."
1248249,2e lijns (Doorgezette incidenten),Outlook kolom 'van' weg
1248250,2e lijns (Doorgezette incidenten),"IPad__ Mobile Inlog, inlog problemen"
1248251,2e lijns (Doorgezette incidenten),wire solutions kan niet opstarten
1248254,2e lijns (Doorgezette incidenten),Kan niet printen in emadows
1248256,2e lijns (Doorgezette incidenten),MF__Functioneel probleem:LCT Helpdesk 3333 Bel service. SC:505-00 Helpdesk 3333
1248259,Hardware / Werkplekbeheer,cf-kaart inlezen
1248260,2e lijns (Doorgezette incidenten),Geen printers beschikbaar.
1248261,2e lijns (Doorgezette incidenten),"MF geeft melding: ""stel sleutelkaart in""."
1248264,Hardware / Werkplekbeheer,"MF__ toner vlekt, afgedrukte documenten zijn niet meer te lezen"
1248266,2e lijns (Doorgezette incidenten),Pols bandje kan niet worden afgedrukt
